,I0T,I0N,I0G,I0A,D0D,D0G,D0A,D0L,D0N,D0I,D0K,D0T,D0V,D0Q,D0S,D0R,D0Y,Y0L,Y0N,Y0D,Y0F,Y0G,Y0A,Y0T,Y0S,V0G,V0D,V0A,V0V,V0T,E0A,E0G,E0L,K0N,K0L,K0I,K0G,K0D,K0A,K0Y,K0V,K0T,K0S,F0D,F0A,F0N,L0Y,L0T,L0S,L0N,L0K,L0D,L0G,L0A,A0D,A0G,A0A,A0L,A0N,A0I,A0K,A0T,A0V,A0Q,A0S,A0Y,Q0T,Q0V,Q0S,V0N,Q0Y,Q0G,V0S,Q0A,Q0L,Q0N,Q0I,V0Y,Q0K,G0S,G0Q,G0V,G0T,G0Y,G0A,G0G,G0D,G0E,G0K,G0N,G0L,N0N,N0L,N0K,N0I,N0G,N0D,N0A,N0Y,N0V,N0T,N0S,N0Q,S0G,S0D,S0E,S0A,S0N,S0L,S0K,S0V,S0T,S0S,S0Y,T0T,T0V,T0Q,T0S,T0Y,T0E,T0D,T0G,T0A,T0L,T0N,T0K
CBZ48214.1,7,6,13,5,13,14,10,7,22,7,1,18,14,9,13,6,6,9,9,20,12,7,15,7,7,12,15,14,8,15,6,14,6,2,3,1,2,3,2,4,4,0,2,8,7,3,9,8,8,10,3,9,4,8,14,15,8,7,5,6,2,18,7,12,11,6,7,6,3,9,8,5,8,2,6,4,10,6,7,4,16,8,12,9,9,5,8,6,1,7,13,7,7,4,5,4,11,5,16,7,6,4,7,4,16,11,7,5,8,1,11,4,9,9,19,12,4,10,7,7,20,10,18,8,8,1
CBZ01001.1,7,6,4,5,11,4,8,11,13,8,18,5,8,6,8,7,5,3,7,19,10,7,4,9,3,17,7,14,6,5,13,7,3,8,5,9,17,5,17,5,20,11,7,5,7,3,5,7,5,8,7,11,5,9,14,12,10,7,7,6,14,14,7,5,12,6,5,6,3,7,4,16,4,6,8,7,5,2,10,7,21,8,5,6,12,6,3,6,7,7,10,10,6,6,6,9,7,4,12,5,4,3,6,2,3,9,3,9,4,11,4,4,2,8,9,3,4,6,4,5,13,8,14,7,2,11
AEE61376.1,6,11,11,7,14,13,4,11,17,7,8,10,10,6,16,4,8,9,5,18,12,4,7,9,4,11,8,9,5,5,6,9,7,3,3,3,9,3,7,5,5,4,4,9,3,6,9,11,6,12,8,11,2,7,16,10,10,8,8,5,7,14,4,8,4,8,7,7,7,12,7,8,10,10,4,7,9,8,8,7,18,5,7,6,11,6,7,4,4,4,11,4,7,6,5,4,11,11,8,9,14,6,8,5,14,5,4,7,8,5,7,11,3,10,14,10,11,13,6,9,18,5,7,5,7,3
BAK27913.1,7,6,10,6,15,10,8,9,16,7,5,20,12,9,8,4,3,8,5,17,11,7,12,6,4,12,9,17,8,6,9,12,7,6,2,6,6,5,5,6,5,7,5,9,6,2,5,5,10,11,7,6,2,9,14,17,10,10,4,4,5,17,7,8,10,6,6,5,3,9,10,7,9,2,7,4,8,4,8,4,16,4,12,8,12,5,9,7,3,3,11,8,6,6,3,2,9,9,8,9,2,4,8,4,14,12,5,6,2,8,8,13,9,9,19,8,5,10,4,12,21,10,14,7,9,5
BAK27915.1,8,7,13,5,16,15,11,8,20,7,1,18,13,9,14,6,7,9,9,20,12,7,15,7,7,11,14,14,10,13,6,13,6,2,3,1,2,3,1,4,5,0,2,8,7,3,9,8,8,10,3,10,3,9,13,16,10,7,6,6,2,16,5,12,11,6,7,6,3,9,8,5,8,2,6,4,10,6,7,5,16,8,11,9,7,4,8,6,1,8,13,7,6,4,4,4,11,4,17,9,6,4,7,5,17,11,7,5,8,1,11,5,9,9,19,11,5,10,6,7,20,9,17,8,6,2
AEI56976.1,1,10,6,7,8,16,6,10,16,8,8,18,9,5,11,6,10,12,13,8,9,5,6,7,11,12,5,7,10,13,8,1,3,6,2,5,15,5,9,13,7,11,3,6,6,8,6,5,7,17,7,5,12,11,19,10,8,11,16,3,9,13,12,10,10,3,8,5,6,19,8,7,8,15,9,9,9,8,4,11,12,12,7,10,12,9,15,8,4,11,11,10,11,8,10,14,21,15,10,13,11,14,17,11,10,4,9,9,8,7,5,5,6,12,11,6,12,5,7,2,13,10,13,3,14,10
CCB92942.1,4,11,11,2,4,7,10,4,18,2,10,12,11,4,9,5,7,6,11,13,6,7,7,4,4,13,4,12,9,10,4,5,6,4,4,8,7,2,7,5,3,5,5,5,5,6,6,6,7,8,3,7,4,8,10,8,5,9,9,4,7,12,6,6,8,8,4,4,3,7,4,8,5,5,4,2,6,10,4,9,12,10,10,4,9,9,6,7,3,13,11,17,6,8,5,18,16,8,6,13,12,7,8,8,6,6,6,9,6,3,4,4,5,9,17,9,3,4,2,5,17,11,10,3,14,6
CCB92985.1,5,8,7,7,6,8,9,11,11,8,10,7,4,9,14,6,6,7,12,13,11,8,6,2,5,13,6,14,5,9,1,10,4,5,4,2,11,4,7,10,6,9,3,8,8,5,5,8,6,9,5,8,5,8,18,11,11,4,7,4,9,19,10,6,12,8,2,5,6,9,6,12,4,5,6,4,11,4,7,3,18,4,11,5,10,6,9,4,2,8,17,10,12,9,7,8,13,6,7,11,12,10,7,10,9,6,8,9,3,2,5,7,3,7,16,10,4,11,6,5,10,7,16,8,11,4
CCB93507.1,2,8,9,7,5,11,3,11,6,9,10,11,8,5,11,3,5,5,9,14,9,8,10,6,6,16,7,12,5,14,8,8,5,8,5,7,14,8,11,12,17,6,6,8,6,4,3,8,10,7,9,8,5,10,13,14,11,8,9,6,8,15,8,2,13,8,3,8,2,10,4,7,9,2,8,2,10,9,11,7,16,10,18,5,8,4,6,7,11,8,12,5,6,9,1,9,10,8,7,6,3,10,10,7,7,8,10,5,5,12,6,7,8,14,14,10,2,8,5,8,15,13,14,8,13,9
CCB93509.1,2,6,9,10,6,3,6,7,9,8,9,8,6,7,16,7,5,6,9,11,8,11,5,6,8,10,4,15,5,15,6,6,5,7,1,10,18,6,12,8,10,8,6,2,9,2,4,7,4,11,5,5,4,9,13,14,13,8,5,6,8,10,12,3,10,7,5,3,2,13,4,4,4,2,5,4,8,5,9,8,9,9,14,9,9,6,9,6,7,6,9,4,3,15,9,3,17,2,6,9,7,4,7,11,6,9,8,5,4,7,9,10,4,11,11,7,3,13,4,11,11,11,15,3,9,11
CCB93510.1,6,5,7,4,8,9,9,8,7,8,10,13,8,6,11,6,6,8,9,14,13,10,5,8,6,16,5,9,3,6,5,6,8,5,4,7,12,10,7,10,7,3,11,10,7,3,7,6,5,10,7,10,9,9,14,12,17,7,5,6,10,19,4,5,9,6,4,5,1,9,4,7,4,1,1,3,10,8,10,4,14,1,12,10,10,6,7,7,10,4,17,3,5,12,4,5,11,10,12,6,8,2,5,9,5,6,2,5,5,9,9,6,7,8,12,5,5,7,4,8,11,4,20,5,11,9
CCB95176.1,6,5,6,4,8,9,9,8,7,8,11,10,8,6,12,6,5,8,9,14,13,9,5,8,6,17,5,9,3,8,5,6,8,5,4,7,12,10,7,10,8,3,11,10,7,2,6,6,5,10,7,10,9,9,13,13,17,8,5,6,10,20,5,5,9,6,4,6,1,9,4,7,4,1,1,3,9,8,10,4,14,1,13,10,10,6,6,8,10,4,17,3,5,11,5,4,11,9,11,6,9,1,5,9,5,6,2,6,5,9,9,6,6,9,11,3,5,8,4,8,11,4,22,5,10,10
CCB95177.1,3,7,8,9,6,3,7,7,10,10,10,9,7,7,15,6,5,7,9,10,8,11,6,6,8,11,5,17,5,13,6,6,5,4,1,8,18,7,10,8,13,11,5,2,8,3,5,8,4,12,5,5,3,10,13,15,13,9,5,6,7,12,11,3,9,7,5,3,2,13,4,4,4,2,5,4,8,6,9,7,9,9,14,10,9,6,9,6,7,6,9,5,4,16,8,3,17,3,6,10,5,3,7,9,6,8,8,5,4,7,9,6,2,10,14,8,3,11,5,11,13,12,15,2,11,9
CCB95178.1,2,9,9,7,5,11,4,11,6,9,10,11,8,4,11,3,5,5,9,14,9,8,10,6,6,17,7,13,5,13,7,8,5,8,5,7,14,8,11,12,17,6,6,8,6,4,2,8,10,7,9,8,5,10,10,14,11,9,10,6,8,16,8,2,14,8,3,8,2,10,4,7,9,2,7,2,10,9,11,7,16,10,18,5,8,4,6,7,11,7,12,5,6,9,1,9,10,8,7,6,4,10,10,6,7,8,10,5,5,12,6,8,8,14,13,10,2,8,5,6,17,13,15,8,12,9
CCB95739.1,6,7,7,6,6,8,10,11,12,8,10,7,4,10,13,5,6,6,11,13,11,8,8,2,5,13,7,12,4,4,1,12,4,4,4,2,11,4,7,10,6,10,3,8,7,5,5,9,6,9,5,8,5,8,16,8,11,4,6,4,9,27,8,6,12,8,2,7,5,10,7,11,4,5,6,3,8,5,7,4,18,4,11,5,8,7,9,4,2,8,16,8,12,9,7,6,14,9,7,9,11,9,6,11,9,6,7,9,4,2,4,7,1,7,12,11,3,11,6,5,11,7,19,9,12,5
CCB95742.1,4,11,10,10,5,5,5,10,7,6,10,5,7,4,7,7,2,6,8,15,11,7,10,5,5,13,4,14,6,8,7,5,4,6,3,4,8,2,6,9,7,10,3,9,5,6,6,11,5,11,6,6,7,12,11,10,11,10,8,3,5,14,5,9,12,8,6,7,16,8,8,10,5,6,4,8,6,9,8,7,17,4,10,6,11,7,5,7,6,7,14,6,9,10,6,8,9,8,8,6,13,5,6,10,6,9,4,6,4,3,11,6,5,8,14,5,7,13,4,6,6,5,8,12,10,6
CCB95764.1,4,12,10,1,4,7,10,4,17,2,10,14,11,5,7,5,6,6,11,13,6,7,6,4,5,13,4,11,9,10,4,5,6,4,3,8,7,2,7,5,3,5,6,5,6,6,6,6,7,8,3,7,4,8,9,9,4,9,8,3,7,13,6,5,8,8,4,4,2,7,4,8,5,5,4,2,6,10,4,9,12,10,10,4,9,9,5,7,3,14,11,16,6,9,5,19,16,6,7,13,13,10,8,8,6,6,7,8,5,3,5,3,5,9,17,8,3,3,2,5,18,11,11,3,16,5
AEJ53066.1,4,11,11,2,4,7,9,4,18,2,8,12,12,4,9,5,7,6,11,13,6,7,7,4,4,13,4,12,9,11,4,5,6,4,4,8,7,2,6,5,2,5,4,5,5,6,6,6,7,8,3,7,4,8,10,9,5,9,9,4,7,10,6,6,8,8,5,4,3,7,4,8,5,4,4,2,6,9,4,9,12,10,10,4,9,9,6,7,3,13,11,17,6,8,5,18,16,9,6,13,12,7,8,8,6,6,6,9,6,3,4,4,5,9,16,9,3,4,2,5,16,10,10,3,16,6
AEJ53086.1,6,10,10,10,5,5,5,9,7,6,10,6,7,5,7,7,2,6,7,14,11,7,10,5,6,13,4,14,6,10,6,5,4,6,3,4,8,2,5,9,8,10,3,11,4,5,6,11,5,10,7,6,7,12,11,11,10,11,9,3,3,12,5,9,8,8,7,7,17,8,8,10,7,5,4,10,6,9,8,8,17,4,10,6,11,6,5,6,5,8,14,5,9,9,6,8,9,8,8,6,12,5,7,8,6,9,2,6,4,5,11,6,5,9,12,6,6,13,3,6,6,6,9,11,10,6
AEJ53088.1,5,8,7,8,6,8,10,11,12,7,10,8,4,10,13,5,6,7,12,13,11,8,8,2,5,13,7,11,4,5,1,11,4,4,4,2,11,4,7,10,6,10,3,8,7,5,5,9,6,9,5,8,5,8,16,9,10,4,6,4,9,24,9,6,13,8,2,5,5,10,6,12,4,5,6,3,10,7,7,4,18,4,11,5,9,7,9,4,2,8,16,8,11,9,7,6,16,8,7,9,11,9,7,11,8,6,7,9,4,2,4,5,1,7,14,11,3,9,6,5,12,7,18,9,12,4
AEJ53591.1,1,8,9,6,6,10,2,11,6,8,9,10,8,5,11,4,6,5,10,13,9,7,10,6,6,18,8,13,8,15,7,9,5,8,5,6,13,6,12,12,19,6,6,9,6,4,3,8,10,8,7,8,5,10,9,14,12,8,9,5,8,15,10,2,12,7,3,8,2,10,4,7,9,2,9,2,9,9,11,7,16,11,17,6,9,4,5,8,11,7,11,5,6,10,1,10,10,8,6,7,5,11,9,8,8,8,9,5,3,13,6,7,8,13,15,10,2,8,6,8,15,12,14,8,13,9
AEJ53592.1,2,6,9,10,6,3,6,7,9,8,9,8,6,7,16,7,5,6,9,11,8,11,5,6,8,10,4,15,5,15,6,6,5,7,1,10,18,6,12,8,10,8,6,2,9,2,5,7,4,11,5,5,4,9,13,14,13,8,5,6,8,10,12,3,10,7,5,3,2,13,4,4,4,2,5,4,8,5,9,8,9,9,14,9,9,6,9,6,7,6,9,4,4,15,8,3,17,2,6,9,7,4,7,11,6,8,8,5,4,7,9,10,4,11,12,7,3,12,4,12,11,11,15,3,9,11
AEJ53593.1,6,5,7,4,8,9,9,8,7,7,10,12,8,6,11,6,6,8,9,14,13,10,5,8,6,16,5,9,3,7,5,6,8,5,4,7,12,10,7,10,7,3,11,10,7,3,7,6,5,10,7,10,9,9,13,13,17,7,5,6,10,19,4,5,9,6,4,5,1,9,4,7,4,1,1,3,10,8,10,5,14,1,12,10,10,6,7,7,10,4,17,3,5,11,5,5,11,10,12,6,8,2,5,9,4,6,2,6,5,10,9,6,7,8,12,5,5,7,4,8,11,4,20,5,11,9
AER51973.1,0,1,1,1,2,1,1,2,2,1,2,2,3,0,2,1,3,0,0,1,1,0,0,1,0,0,2,4,0,2,0,0,2,0,0,0,0,0,2,3,0,1,0,1,0,0,1,1,0,0,1,2,0,1,3,1,3,2,0,1,2,1,0,1,0,1,1,2,1,3,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,4,2,0,0,0,2,0,0,2,1,1,1,2,0,2,1,0,1,0,0,3,1,1,1,1,0,0,1,2,0
AER51974.1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,2,1,0,0,0,0,1,1,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,2,0,0,1,2,1,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,1,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
AER51975.1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,2,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
AER92609.1,1,4,2,1,7,1,6,9,4,3,9,8,4,5,6,2,3,3,4,3,3,0,1,3,1,2,2,5,0,4,0,1,2,2,3,2,0,4,7,2,2,6,3,1,1,0,2,4,1,6,1,4,2,5,6,1,3,3,2,2,3,14,2,4,10,3,1,2,2,2,0,5,3,2,2,5,3,2,3,3,0,1,3,1,1,0,3,1,1,2,3,3,4,2,0,1,9,7,2,2,3,5,2,3,12,1,2,4,2,5,3,7,4,3,14,3,2,3,3,1,17,2,10,2,2,2
AER92610.1,5,7,6,2,5,6,1,1,6,6,7,1,6,5,7,1,5,5,5,8,5,4,6,3,8,10,5,3,6,2,1,0,2,3,4,0,7,0,3,1,2,3,3,4,4,1,1,3,5,3,2,4,2,2,8,6,2,4,2,1,3,8,2,2,3,4,2,5,3,5,3,2,0,3,6,0,7,4,4,3,11,3,5,4,6,3,2,7,3,5,4,4,0,0,3,4,4,3,7,4,6,3,7,8,6,1,5,2,1,4,3,6,6,2,7,5,1,8,3,5,5,8,5,1,2,3
AET30256.1,7,16,18,9,22,24,18,20,18,14,9,22,30,24,22,14,12,14,18,28,12,12,12,13,11,28,18,20,9,7,8,9,8,10,11,12,13,15,21,10,9,15,8,12,9,9,12,16,18,24,6,27,10,13,26,9,6,15,14,8,12,52,13,8,10,10,8,8,10,17,11,9,12,6,13,11,21,14,18,12,32,8,20,15,23,12,14,12,10,14,23,15,13,10,5,18,25,13,13,17,14,25,19,26,17,10,13,15,16,11,14,13,14,14,24,12,8,16,10,13,31,18,26,7,26,24
AET30954.1,6,11,12,8,14,13,5,11,18,7,8,11,11,6,16,4,8,9,5,18,13,4,7,9,4,11,9,10,4,5,6,9,7,3,4,3,10,3,6,7,5,5,5,8,3,8,9,11,7,12,9,11,2,7,16,11,10,8,9,6,7,14,4,8,5,7,6,7,7,11,7,8,10,10,4,6,10,7,9,8,18,5,7,6,12,6,6,4,4,5,11,5,7,6,5,5,12,11,9,10,13,6,8,5,14,5,5,7,9,5,7,11,3,10,14,10,11,13,7,9,18,4,7,5,7,4
AET30959.1,8,12,11,3,13,8,10,11,12,10,17,10,9,11,20,3,9,8,10,14,8,5,10,7,9,12,7,10,6,8,1,1,4,5,9,3,8,4,12,5,4,10,6,5,5,1,4,7,7,9,5,8,4,8,14,8,9,7,5,3,7,27,6,6,14,7,3,6,5,6,4,7,4,6,8,7,11,7,8,6,13,6,9,6,8,3,5,8,4,7,8,8,4,3,3,7,14,10,9,8,10,9,9,12,18,4,7,7,4,12,5,14,10,6,23,11,3,12,6,6,32,10,16,4,5,5
AAU08003.2,6,15,5,3,4,3,7,5,12,7,3,13,8,4,9,3,9,5,9,13,1,7,6,7,7,13,5,12,7,3,6,6,3,8,4,5,6,2,5,10,4,13,4,3,3,5,7,5,8,18,6,7,6,5,12,3,6,11,20,5,8,6,9,11,8,6,5,7,4,19,5,6,3,7,7,8,11,5,4,9,7,6,11,4,8,9,8,6,3,11,9,23,13,9,13,18,15,15,6,8,12,12,17,5,11,5,11,8,4,4,8,10,8,11,6,5,9,10,4,7,5,9,13,6,16,10
BAL15792.1,1,5,8,4,9,7,5,7,17,1,5,8,8,11,6,6,10,6,12,11,7,6,4,4,3,7,7,9,6,7,2,4,6,4,10,5,8,5,9,8,6,3,2,4,12,5,2,8,7,12,8,8,8,6,15,15,9,6,8,4,4,5,2,10,15,8,2,11,7,12,5,10,5,7,3,10,4,4,11,5,11,6,16,5,11,6,5,4,8,5,13,8,6,8,7,9,18,15,6,7,10,8,15,6,5,4,8,7,3,4,7,2,6,4,11,6,9,2,8,0,9,7,5,7,11,4
BAL15793.1,4,5,8,5,8,11,8,5,9,6,14,8,6,8,6,2,7,8,8,14,9,10,7,4,4,12,7,11,8,3,6,10,6,4,6,7,16,11,13,9,4,6,6,6,8,4,5,9,8,11,9,6,4,8,13,13,14,9,6,8,9,16,5,7,14,3,4,7,6,7,6,3,10,4,9,0,6,8,9,5,10,9,15,5,7,4,6,5,14,4,10,7,5,9,2,5,11,7,8,6,4,3,2,9,4,9,13,8,7,9,7,8,7,7,11,10,5,12,6,5,8,8,11,5,6,11
BAL43158.1,4,8,4,6,10,7,8,7,9,5,15,6,11,8,5,6,6,8,9,11,9,6,8,5,3,17,8,15,5,6,3,6,6,6,4,4,17,7,4,10,15,5,7,5,8,6,4,4,5,9,9,5,5,7,14,12,15,8,12,2,11,14,8,5,12,6,2,8,5,8,5,8,6,7,7,4,6,5,8,8,16,8,7,7,17,7,11,1,2,6,9,6,4,6,4,7,9,9,7,10,8,6,8,7,10,3,11,3,7,8,6,5,3,6,13,3,5,8,3,10,7,6,13,5,3,8
AEZ62213.1,3,7,8,9,13,7,8,7,11,9,8,14,10,7,4,3,2,8,7,15,10,8,11,5,5,9,9,18,7,7,8,15,6,6,2,9,8,6,6,7,4,5,7,8,2,1,5,5,9,10,7,8,3,6,15,12,8,11,4,4,5,11,5,8,15,5,7,7,2,7,10,6,6,0,5,4,8,4,9,3,14,8,10,8,11,5,7,6,4,6,12,7,6,6,3,4,9,8,6,8,3,4,10,4,7,11,7,4,4,5,5,13,5,11,11,6,2,7,4,11,13,10,13,4,7,7
BAL69360.1,7,8,7,10,9,9,5,6,8,6,7,6,7,3,6,8,4,8,11,7,9,5,4,7,6,13,8,13,6,6,5,5,5,5,5,8,6,5,6,7,9,9,2,6,4,6,5,7,9,11,8,5,3,12,12,11,3,9,9,5,9,9,5,5,14,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,8,8,8,10,9,10,12,10,5,6,10,6,1,11,11,6,6,11,5,7,5,17,6,6,11,3,5,9,5,9,5,10,8
BAL69361.1,8,10,12,9,8,7,4,7,14,8,10,4,8,5,7,5,4,6,14,14,8,9,7,4,4,13,11,11,9,10,6,7,6,2,6,9,4,3,5,8,9,7,4,4,6,7,1,6,4,11,8,6,1,10,11,12,5,9,9,7,7,13,3,3,12,5,5,4,6,9,3,7,5,6,6,3,3,11,10,9,14,7,4,7,12,3,3,1,6,6,5,3,8,4,6,14,9,6,13,11,10,7,12,9,8,5,6,4,5,4,11,6,7,8,9,9,2,10,3,5,10,6,10,5,9,7
BAL69445.1,5,14,9,6,7,7,6,9,7,7,11,5,8,9,15,5,6,11,9,10,8,9,9,3,7,7,6,12,8,9,7,2,3,10,4,9,8,3,12,8,6,8,9,5,4,6,8,6,9,12,7,3,6,9,16,9,6,6,7,6,13,14,2,4,14,6,4,7,6,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,6,9,8,7,6,7,14,5,11,5,11,10,9,7,9,7,9,9,4,11,13,7,4,9,6,12,6,6,5
AFJ32810.1,2,2,2,1,4,4,0,5,5,4,2,3,5,2,4,2,5,1,1,6,2,2,5,4,1,2,2,6,2,3,1,1,2,0,0,0,1,0,3,2,0,2,1,3,1,2,3,3,4,1,2,4,0,2,7,4,5,5,2,1,4,5,2,5,0,2,1,3,2,5,1,2,2,5,1,1,2,6,1,3,3,0,2,1,4,2,2,0,0,1,3,0,3,0,0,0,6,6,1,2,0,4,2,0,5,2,2,2,3,1,3,6,1,5,6,2,3,5,2,4,5,1,2,2,3,1
AFJ32811.1,2,2,2,1,4,4,0,5,5,4,2,3,5,2,4,2,5,1,1,6,2,2,5,4,1,2,2,6,2,3,1,1,2,0,0,0,1,0,3,2,0,2,1,3,1,2,3,3,4,1,2,4,0,2,7,4,5,5,2,1,4,5,2,5,0,2,1,3,2,5,1,2,2,5,1,1,2,6,1,3,3,0,2,1,4,2,1,0,0,2,3,0,3,0,0,0,6,6,1,2,0,4,2,0,5,2,2,2,3,1,3,6,1,5,6,2,3,5,2,4,5,1,2,2,3,1
ADB43097.3,6,7,4,5,12,11,6,11,9,7,6,9,10,12,10,5,11,6,5,18,11,4,4,5,3,9,13,10,4,12,1,4,6,1,6,1,4,4,5,5,6,2,2,10,10,3,2,8,3,9,3,5,9,12,15,15,11,7,3,6,6,17,8,9,11,11,8,6,4,5,4,10,8,10,2,4,8,4,6,1,13,5,10,4,11,8,5,7,1,3,12,2,2,2,2,5,13,7,3,10,6,3,6,4,7,0,17,5,4,5,10,8,14,5,16,8,7,13,7,6,12,9,23,7,5,2
CCF26901.1,3,7,9,11,11,16,3,10,4,7,7,5,10,15,10,9,5,5,8,12,6,8,8,5,5,12,8,8,6,6,5,4,3,9,6,5,7,6,9,7,7,9,5,11,2,3,4,8,5,10,7,9,6,10,8,11,9,7,5,5,6,13,7,6,8,5,5,7,3,12,5,10,4,8,8,9,15,4,14,4,18,7,6,4,10,7,9,6,4,6,10,7,3,9,7,4,14,5,4,7,4,7,10,6,6,4,5,8,7,4,7,6,3,8,7,5,8,9,11,5,7,7,6,5,3,7
CCF26454.1,7,16,18,13,18,24,17,20,22,9,19,29,17,20,17,12,10,15,15,29,12,10,10,12,12,25,7,21,10,17,4,10,12,13,14,11,18,14,17,11,19,12,7,14,9,12,12,16,17,20,10,22,10,19,35,24,7,14,15,12,19,30,12,14,4,9,12,16,11,22,8,16,5,10,10,12,15,9,20,12,32,11,19,16,24,14,16,9,8,11,28,11,16,13,7,10,32,15,10,14,17,12,22,14,15,5,5,11,14,11,9,12,6,14,20,12,13,15,14,6,18,17,28,10,24,13
CCF26526.1,4,10,12,8,10,12,9,14,27,7,8,9,11,15,15,10,10,11,17,16,8,11,14,7,8,14,5,12,12,13,1,7,6,7,9,7,12,6,9,12,10,8,11,10,6,11,6,14,7,14,13,7,15,12,15,16,14,8,12,6,5,16,4,8,11,12,18,17,8,11,8,9,10,6,8,10,10,7,15,8,27,7,17,8,9,10,14,6,8,11,11,18,10,12,10,12,24,9,13,11,13,12,19,13,10,8,13,11,9,12,9,8,5,4,15,11,14,14,16,4,17,6,10,4,16,7
CCF26208.1,3,4,4,3,3,5,2,7,5,4,7,7,4,6,5,3,4,2,2,8,3,1,4,2,2,3,6,8,2,2,1,1,3,1,3,1,7,3,5,7,3,5,3,4,2,4,2,6,3,8,7,3,0,3,10,4,5,4,7,2,4,7,0,5,5,2,6,4,1,7,0,4,3,4,2,4,5,4,4,2,5,1,4,1,4,1,1,2,1,2,7,8,6,3,1,3,8,6,2,5,7,5,4,2,4,2,4,7,3,2,3,11,1,3,5,9,8,6,5,0,11,1,4,1,8,4
CCF26209.1,2,6,6,2,4,7,2,4,3,10,2,7,2,4,6,1,2,5,7,5,5,4,4,6,1,5,5,2,2,2,1,2,1,1,2,1,4,1,2,2,1,4,1,5,4,5,3,6,3,5,3,6,6,2,2,4,2,2,6,2,3,5,2,3,1,3,1,3,3,7,6,5,3,3,4,1,7,6,6,1,10,7,6,3,7,4,3,2,5,1,6,6,3,2,2,4,3,4,6,3,3,3,7,6,3,0,2,1,2,3,2,4,0,5,6,4,5,6,3,0,6,5,3,3,3,0
CCF28946.1,5,10,10,5,7,12,4,10,8,14,9,14,6,10,11,5,6,7,9,13,8,5,7,9,3,8,11,11,5,4,2,3,4,2,5,2,11,4,7,9,4,9,4,9,6,9,5,11,5,13,10,9,6,6,12,8,6,6,13,4,7,13,2,7,6,5,6,7,4,14,6,9,6,7,6,5,14,10,10,3,15,8,10,4,11,6,4,4,6,3,13,14,10,5,3,7,11,9,8,9,10,8,11,8,7,2,6,8,5,5,5,15,0,8,12,12,14,12,8,0,16,7,7,4,12,4
CCF28563.1,8,17,17,13,18,24,16,19,22,10,18,27,17,20,16,13,10,14,14,28,13,10,10,12,12,25,7,21,11,15,4,9,10,13,15,11,18,14,16,11,17,12,7,14,10,12,12,16,16,19,9,22,10,19,33,24,8,14,15,11,17,29,12,13,5,9,12,17,11,22,8,16,6,10,9,12,14,9,20,12,32,11,20,16,24,15,15,9,8,11,27,11,16,13,7,10,32,14,10,14,18,12,22,14,16,5,5,11,13,11,9,11,7,14,19,12,14,13,14,5,19,16,27,11,22,13
CCF30682.1,5,4,3,6,13,10,4,13,20,7,5,8,10,10,6,4,11,6,7,18,9,5,6,5,2,12,9,15,4,9,1,5,4,0,5,1,4,7,6,5,7,3,4,6,10,5,4,7,3,8,5,8,8,11,13,15,8,8,6,6,4,14,5,12,9,8,9,6,7,6,4,8,7,4,4,4,6,4,5,3,11,5,8,3,14,9,5,7,1,4,11,5,3,2,5,4,14,12,5,10,6,4,9,3,4,5,13,3,2,3,7,9,7,6,12,7,6,8,7,2,12,10,11,9,15,6
AFM81328.1,5,14,8,6,7,7,6,9,7,7,11,5,8,9,15,6,6,11,9,10,8,9,10,3,7,7,6,12,8,9,6,2,3,10,4,9,8,3,11,8,6,8,9,5,4,6,8,6,9,12,7,3,6,9,15,9,6,6,8,6,12,14,2,4,14,6,4,7,7,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,6,9,8,7,6,7,14,5,12,5,11,10,9,7,9,7,9,9,4,12,13,7,4,9,6,12,6,6,5
